Coordinates3,Count
"(33.73, -84.379)",17
"(33.73, -84.38)",4
"(33.73, -84.381)",7
"(33.73, -84.382)",7
"(33.73, -84.383)",15
"(33.73, -84.384)",38
"(33.73, -84.385)",25
"(33.73, -84.386)",30
"(33.73, -84.387)",58
"(33.73, -84.388)",64
"(33.73, -84.389)",17
"(33.73, -84.39)",21
"(33.73, -84.391)",22
"(33.73, -84.392)",19
"(33.73, -84.393)",4
"(33.73, -84.394)",9
"(33.73, -84.395)",7
"(33.73, -84.396)",11
"(33.73, -84.399)",11
"(33.73, -84.4)",7
"(33.73, -84.401)",38
"(33.73, -84.402)",17
"(33.73, -84.403)",53
"(33.73, -84.404)",22
"(33.73, -84.405)",26
"(33.73, -84.406)",13
"(33.73, -84.407)",15
"(33.73, -84.408)",27
"(33.73, -84.409)",21
"(33.73, -84.41)",20
"(33.73, -84.411)",16
"(33.73, -84.412)",36
"(33.73, -84.413)",39
"(33.73, -84.414)",20
"(33.73, -84.416)",69
"(33.73, -84.417)",2
"(33.73, -84.421)",15
"(33.73, -84.422)",9
"(33.73, -84.423)",12
"(33.73, -84.424)",20
"(33.73, -84.425)",12
"(33.73, -84.426)",4
"(33.73, -84.427)",19
"(33.73, -84.428)",5
"(33.73, -84.431)",2
"(33.73, -84.432)",5
"(33.73, -84.435)",6
"(33.73, -84.436)",8
"(33.73, -84.437)",17
"(33.73, -84.438)",15
"(33.73, -84.439)",20
"(33.73, -84.44)",13
"(33.73, -84.441)",15
"(33.73, -84.442)",18
"(33.73, -84.443)",10
"(33.73, -84.444)",9
"(33.73, -84.445)",10
"(33.73, -84.446)",4
"(33.73, -84.458)",1
"(33.73, -84.459)",1
"(33.73, -84.46)",5
"(33.73, -84.462)",1
"(33.73, -84.463)",2
"(33.73, -84.464)",11
"(33.73, -84.465)",1
"(33.73, -84.466)",4
"(33.73, -84.467)",3
"(33.73, -84.469)",1
"(33.73, -84.47)",1
"(33.73, -84.471)",2
"(33.73, -84.472)",5
"(33.73, -84.475)",1
"(33.73, -84.476)",2
"(33.73, -84.477)",4
"(33.73, -84.478)",2
"(33.73, -84.481)",2
"(33.73, -84.482)",5
"(33.73, -84.483)",2
"(33.73, -84.484)",1
"(33.73, -84.485)",2
"(33.73, -84.486)",1
"(33.73, -84.49)",1
"(33.73, -84.491)",1
"(33.73, -84.493)",2
"(33.73, -84.494)",1
"(33.73, -84.497)",2
"(33.73, -84.498)",3
"(33.73, -84.499)",3
"(33.73, -84.5)",6
"(33.73, -84.501)",2
"(33.73, -84.529)",5
"(33.73, -84.532)",3
"(33.73, -84.534)",2
"(33.731, -84.33)",15
"(33.731, -84.331)",8
"(33.731, -84.332)",19
"(33.731, -84.333)",7
"(33.731, -84.334)",11
"(33.731, -84.335)",12
"(33.731, -84.336)",18
"(33.731, -84.337)",9
"(33.731, -84.349)",9
"(33.731, -84.35)",8
"(33.731, -84.351)",10
"(33.731, -84.352)",4
"(33.731, -84.353)",3
"(33.731, -84.354)",8
"(33.731, -84.355)",3
"(33.731, -84.356)",12
"(33.731, -84.357)",3
"(33.731, -84.358)",3
"(33.731, -84.359)",5
"(33.731, -84.36)",1
"(33.731, -84.361)",1
"(33.731, -84.362)",5
"(33.731, -84.363)",4
"(33.731, -84.364)",8
"(33.731, -84.365)",5
"(33.731, -84.366)",4
"(33.731, -84.367)",7
"(33.731, -84.368)",2
"(33.731, -84.373)",16
"(33.731, -84.374)",23
"(33.731, -84.375)",12
"(33.731, -84.376)",6
"(33.731, -84.377)",8
"(33.731, -84.378)",11
"(33.731, -84.379)",14
"(33.731, -84.38)",19
"(33.731, -84.381)",15
"(33.731, -84.382)",9
"(33.731, -84.383)",10
"(33.731, -84.384)",17
"(33.731, -84.385)",17
"(33.731, -84.386)",13
"(33.731, -84.387)",11
"(33.731, -84.388)",100
"(33.731, -84.389)",15
"(33.731, -84.39)",48
"(33.731, -84.391)",32
"(33.731, -84.393)",2
"(33.731, -84.394)",13
"(33.731, -84.395)",27
"(33.731, -84.396)",10
"(33.731, -84.397)",2
"(33.731, -84.4)",4
"(33.731, -84.401)",13
"(33.731, -84.402)",32
"(33.731, -84.403)",23
"(33.731, -84.404)",21
"(33.731, -84.405)",47
"(33.731, -84.406)",26
"(33.731, -84.407)",16
"(33.731, -84.408)",44
"(33.731, -84.409)",24
"(33.731, -84.41)",28
"(33.731, -84.411)",14
"(33.731, -84.412)",5
"(33.731, -84.413)",18
"(33.731, -84.414)",24
"(33.731, -84.415)",5
"(33.731, -84.416)",12
"(33.731, -84.417)",12
"(33.731, -84.418)",10
"(33.731, -84.419)",2
"(33.731, -84.421)",4
"(33.731, -84.422)",8
"(33.731, -84.423)",7
"(33.731, -84.424)",9
"(33.731, -84.425)",17
"(33.731, -84.426)",15
"(33.731, -84.427)",9
"(33.731, -84.428)",3
"(33.731, -84.429)",13
"(33.731, -84.43)",6
"(33.731, -84.431)",6
"(33.731, -84.432)",12
"(33.731, -84.433)",10
"(33.731, -84.434)",12
"(33.731, -84.435)",19
"(33.731, -84.436)",7
"(33.731, -84.437)",22
"(33.731, -84.438)",8
"(33.731, -84.439)",9
"(33.731, -84.44)",22
"(33.731, -84.441)",21
"(33.731, -84.442)",4
"(33.731, -84.443)",5
"(33.731, -84.444)",2
"(33.731, -84.445)",9
"(33.731, -84.446)",2
"(33.731, -84.449)",2
"(33.731, -84.45)",1
"(33.731, -84.452)",1
"(33.731, -84.455)",2
"(33.731, -84.456)",1
"(33.731, -84.458)",6
"(33.731, -84.459)",5
"(33.731, -84.46)",7
"(33.731, -84.461)",5
"(33.731, -84.463)",3
"(33.731, -84.464)",1
"(33.731, -84.465)",6
"(33.731, -84.466)",4
"(33.731, -84.467)",1
"(33.731, -84.469)",1
"(33.731, -84.471)",1
"(33.731, -84.473)",2
"(33.731, -84.475)",1
"(33.731, -84.476)",1
"(33.731, -84.477)",1
"(33.731, -84.478)",4
"(33.731, -84.483)",1
"(33.731, -84.484)",1
"(33.731, -84.485)",1
"(33.731, -84.486)",5
"(33.731, -84.489)",2
"(33.731, -84.49)",2
"(33.731, -84.491)",2
"(33.731, -84.492)",1
"(33.731, -84.493)",2
"(33.731, -84.494)",4
"(33.731, -84.495)",6
"(33.731, -84.496)",2
"(33.731, -84.497)",2
"(33.731, -84.498)",1
"(33.731, -84.5)",1
"(33.731, -84.501)",2
"(33.731, -84.511)",23
"(33.731, -84.512)",13
"(33.731, -84.528)",2
"(33.731, -84.53)",3
"(33.731, -84.531)",2
"(33.731, -84.532)",2
"(33.731, -84.533)",1
"(33.731, -84.534)",1
"(33.731, -84.535)",4
"(33.731, -84.536)",1
"(33.731, -84.537)",1
"(33.731, -84.544)",1
"(33.732, -84.33)",8
"(33.732, -84.331)",7
"(33.732, -84.332)",14
"(33.732, -84.333)",13
"(33.732, -84.335)",2
"(33.732, -84.336)",5
"(33.732, -84.337)",1
"(33.732, -84.338)",2
"(33.732, -84.339)",2
"(33.732, -84.344)",1
"(33.732, -84.345)",2
"(33.732, -84.346)",2
"(33.732, -84.349)",12
"(33.732, -84.35)",21
"(33.732, -84.351)",11
"(33.732, -84.352)",1
"(33.732, -84.353)",3
"(33.732, -84.354)",15
"(33.732, -84.355)",2
"(33.732, -84.356)",4
"(33.732, -84.357)",5
"(33.732, -84.358)",10
"(33.732, -84.359)",5
"(33.732, -84.36)",4
"(33.732, -84.361)",2
"(33.732, -84.363)",3
"(33.732, -84.364)",7
"(33.732, -84.365)",6
"(33.732, -84.366)",4
"(33.732, -84.367)",13
"(33.732, -84.368)",6
"(33.732, -84.374)",20
"(33.732, -84.375)",4
"(33.732, -84.376)",9
"(33.732, -84.377)",8
"(33.732, -84.378)",25
"(33.732, -84.379)",11
"(33.732, -84.38)",34
"(33.732, -84.381)",27
"(33.732, -84.382)",21
"(33.732, -84.383)",16
"(33.732, -84.384)",43
"(33.732, -84.385)",39
"(33.732, -84.386)",15
"(33.732, -84.387)",21
"(33.732, -84.388)",57
"(33.732, -84.389)",29
"(33.732, -84.39)",44
"(33.732, -84.391)",15
"(33.732, -84.393)",18
"(33.732, -84.394)",34
"(33.732, -84.395)",25
"(33.732, -84.396)",12
"(33.732, -84.397)",28
"(33.732, -84.398)",2
"(33.732, -84.401)",11
"(33.732, -84.402)",26
"(33.732, -84.403)",34
"(33.732, -84.404)",18
"(33.732, -84.405)",49
"(33.732, -84.406)",26
"(33.732, -84.407)",28
"(33.732, -84.408)",23
"(33.732, -84.409)",5
"(33.732, -84.41)",23
"(33.732, -84.412)",6
"(33.732, -84.413)",2
"(33.732, -84.414)",19
"(33.732, -84.415)",12
"(33.732, -84.416)",21
"(33.732, -84.417)",22
"(33.732, -84.418)",25
"(33.732, -84.419)",19
"(33.732, -84.42)",24
"(33.732, -84.421)",9
"(33.732, -84.422)",5
"(33.732, -84.423)",6
"(33.732, -84.425)",23
"(33.732, -84.426)",6
"(33.732, -84.427)",21
"(33.732, -84.428)",15
"(33.732, -84.429)",7
"(33.732, -84.43)",14
"(33.732, -84.431)",11
"(33.732, -84.432)",3
"(33.732, -84.433)",8
"(33.732, -84.434)",14
"(33.732, -84.435)",10
"(33.732, -84.436)",13
"(33.732, -84.437)",19
"(33.732, -84.438)",8
"(33.732, -84.439)",5
"(33.732, -84.44)",1
"(33.732, -84.442)",8
"(33.732, -84.443)",6
"(33.732, -84.444)",6
"(33.732, -84.445)",6
"(33.732, -84.449)",5
"(33.732, -84.45)",2
"(33.732, -84.451)",4
"(33.732, -84.452)",5
"(33.732, -84.455)",4
"(33.732, -84.456)",4
"(33.732, -84.458)",4
"(33.732, -84.459)",6
"(33.732, -84.46)",8
"(33.732, -84.462)",6
"(33.732, -84.465)",6
"(33.732, -84.467)",1
"(33.732, -84.468)",1
"(33.732, -84.47)",1
"(33.732, -84.476)",1
"(33.732, -84.477)",2
"(33.732, -84.48)",1
"(33.732, -84.484)",2
"(33.732, -84.485)",7
"(33.732, -84.487)",4
"(33.732, -84.488)",3
"(33.732, -84.493)",8
"(33.732, -84.494)",6
"(33.732, -84.495)",4
"(33.732, -84.496)",2
"(33.732, -84.497)",1
"(33.732, -84.498)",1
"(33.732, -84.499)",2
"(33.732, -84.5)",2
"(33.732, -84.501)",2
"(33.732, -84.509)",3
"(33.732, -84.51)",15
"(33.732, -84.511)",34
"(33.732, -84.512)",19
"(33.732, -84.513)",18
"(33.732, -84.514)",1
"(33.732, -84.53)",2
"(33.732, -84.531)",2
"(33.732, -84.532)",2
"(33.732, -84.533)",2
"(33.732, -84.534)",1
"(33.732, -84.535)",4
"(33.732, -84.536)",4
"(33.732, -84.538)",2
"(33.732, -84.54)",2
"(33.733, -84.33)",5
"(33.733, -84.331)",2
"(33.733, -84.332)",2
"(33.733, -84.333)",3
"(33.733, -84.334)",5
"(33.733, -84.335)",13
"(33.733, -84.336)",2
"(33.733, -84.338)",6
"(33.733, -84.339)",13
"(33.733, -84.34)",2
"(33.733, -84.343)",4
"(33.733, -84.344)",3
"(33.733, -84.345)",16
"(33.733, -84.346)",10
"(33.733, -84.347)",9
"(33.733, -84.348)",11
"(33.733, -84.349)",12
"(33.733, -84.35)",2
"(33.733, -84.351)",4
"(33.733, -84.352)",7
"(33.733, -84.354)",2
"(33.733, -84.355)",6
"(33.733, -84.356)",6
"(33.733, -84.357)",7
"(33.733, -84.358)",14
"(33.733, -84.359)",16
"(33.733, -84.36)",6
"(33.733, -84.361)",3
"(33.733, -84.362)",2
"(33.733, -84.363)",1
"(33.733, -84.364)",5
"(33.733, -84.365)",26
"(33.733, -84.366)",3
"(33.733, -84.367)",7
"(33.733, -84.374)",56
"(33.733, -84.375)",4
"(33.733, -84.376)",10
"(33.733, -84.377)",12
"(33.733, -84.378)",8
"(33.733, -84.379)",20
"(33.733, -84.38)",21
"(33.733, -84.381)",26
"(33.733, -84.382)",19
"(33.733, -84.383)",22
"(33.733, -84.384)",32
"(33.733, -84.385)",33
"(33.733, -84.386)",26
"(33.733, -84.387)",17
"(33.733, -84.388)",33
"(33.733, -84.389)",1
"(33.733, -84.39)",2
"(33.733, -84.391)",90
"(33.733, -84.394)",54
"(33.733, -84.395)",10
"(33.733, -84.396)",18
"(33.733, -84.397)",12
"(33.733, -84.398)",28
"(33.733, -84.401)",5
"(33.733, -84.402)",2
"(33.733, -84.404)",19
"(33.733, -84.405)",16
"(33.733, -84.406)",14
"(33.733, -84.407)",18
"(33.733, -84.408)",20
"(33.733, -84.409)",15
"(33.733, -84.41)",9
"(33.733, -84.411)",17
"(33.733, -84.412)",13
"(33.733, -84.413)",12
"(33.733, -84.414)",17
"(33.733, -84.415)",6
"(33.733, -84.416)",10
"(33.733, -84.417)",14
"(33.733, -84.418)",15
"(33.733, -84.419)",10
"(33.733, -84.42)",23
"(33.733, -84.421)",1
"(33.733, -84.423)",6
"(33.733, -84.424)",5
"(33.733, -84.425)",15
"(33.733, -84.426)",1
"(33.733, -84.427)",17
"(33.733, -84.428)",4
"(33.733, -84.429)",5
"(33.733, -84.43)",24
"(33.733, -84.431)",10
"(33.733, -84.432)",7
"(33.733, -84.433)",8
"(33.733, -84.434)",13
"(33.733, -84.435)",18
"(33.733, -84.436)",13
"(33.733, -84.437)",35
"(33.733, -84.438)",134
"(33.733, -84.439)",8
"(33.733, -84.44)",24
"(33.733, -84.441)",12
"(33.733, -84.442)",11
"(33.733, -84.443)",8
"(33.733, -84.444)",12
"(33.733, -84.445)",10
"(33.733, -84.448)",19
"(33.733, -84.449)",10
"(33.733, -84.45)",3
"(33.733, -84.451)",3
"(33.733, -84.452)",2
"(33.733, -84.453)",2
"(33.733, -84.456)",2
"(33.733, -84.457)",5
"(33.733, -84.458)",5
"(33.733, -84.459)",6
"(33.733, -84.461)",1
"(33.733, -84.462)",7
"(33.733, -84.466)",3
"(33.733, -84.467)",1
"(33.733, -84.47)",1
"(33.733, -84.476)",2
"(33.733, -84.477)",3
"(33.733, -84.478)",1
"(33.733, -84.479)",3
"(33.733, -84.48)",2
"(33.733, -84.485)",1
"(33.733, -84.486)",3
"(33.733, -84.487)",1
"(33.733, -84.488)",3
"(33.733, -84.489)",3
"(33.733, -84.49)",82
"(33.733, -84.492)",1
"(33.733, -84.493)",3
"(33.733, -84.494)",1
"(33.733, -84.495)",2
"(33.733, -84.496)",2
"(33.733, -84.497)",4
"(33.733, -84.5)",4
"(33.733, -84.501)",2
"(33.733, -84.51)",10
"(33.733, -84.511)",5
"(33.733, -84.512)",8
"(33.733, -84.513)",6
"(33.733, -84.514)",3
"(33.733, -84.529)",1
"(33.733, -84.53)",1
"(33.733, -84.532)",1
"(33.733, -84.533)",3
"(33.733, -84.534)",3
"(33.733, -84.536)",4
"(33.733, -84.541)",2
"(33.734, -84.33)",6
"(33.734, -84.331)",7
"(33.734, -84.332)",6
"(33.734, -84.333)",8
"(33.734, -84.334)",16
"(33.734, -84.335)",3
"(33.734, -84.336)",4
"(33.734, -84.337)",4
"(33.734, -84.338)",6
"(33.734, -84.339)",6
"(33.734, -84.34)",6
"(33.734, -84.341)",1
"(33.734, -84.342)",8
"(33.734, -84.343)",16
"(33.734, -84.344)",15
"(33.734, -84.345)",12
"(33.734, -84.346)",7
"(33.734, -84.347)",5
"(33.734, -84.348)",9
"(33.734, -84.349)",24
"(33.734, -84.35)",28
"(33.734, -84.351)",6
"(33.734, -84.352)",10
"(33.734, -84.353)",4
"(33.734, -84.354)",10
"(33.734, -84.355)",6
"(33.734, -84.356)",11
"(33.734, -84.357)",6
"(33.734, -84.358)",14
"(33.734, -84.359)",2
"(33.734, -84.36)",3
"(33.734, -84.361)",50
"(33.734, -84.362)",23
"(33.734, -84.363)",13
"(33.734, -84.364)",3
"(33.734, -84.365)",10
"(33.734, -84.366)",10
"(33.734, -84.367)",8
"(33.734, -84.368)",9
"(33.734, -84.372)",68
"(33.734, -84.374)",15
"(33.734, -84.375)",12
"(33.734, -84.376)",8
"(33.734, -84.377)",10
"(33.734, -84.378)",10
"(33.734, -84.379)",17
"(33.734, -84.38)",23
"(33.734, -84.381)",5
"(33.734, -84.384)",16
"(33.734, -84.385)",47
"(33.734, -84.386)",21
"(33.734, -84.387)",5
"(33.734, -84.388)",10
"(33.734, -84.389)",1
"(33.734, -84.39)",3
"(33.734, -84.391)",105
"(33.734, -84.394)",9
"(33.734, -84.395)",32
"(33.734, -84.396)",33
"(33.734, -84.397)",30
"(33.734, -84.398)",8
"(33.734, -84.399)",17
"(33.734, -84.4)",3
"(33.734, -84.402)",636
"(33.734, -84.403)",1
"(33.734, -84.404)",15
"(33.734, -84.405)",22
"(33.734, -84.406)",32
"(33.734, -84.407)",1
"(33.734, -84.408)",18
"(33.734, -84.409)",15
"(33.734, -84.41)",31
"(33.734, -84.411)",28
"(33.734, -84.412)",32
"(33.734, -84.413)",11
"(33.734, -84.414)",45
"(33.734, -84.415)",29
"(33.734, -84.416)",21
"(33.734, -84.417)",19
"(33.734, -84.418)",12
"(33.734, -84.419)",25
"(33.734, -84.42)",14
"(33.734, -84.421)",1
"(33.734, -84.422)",66
"(33.734, -84.423)",2
"(33.734, -84.424)",34
"(33.734, -84.425)",4
"(33.734, -84.428)",41
"(33.734, -84.429)",33
"(33.734, -84.43)",5
"(33.734, -84.431)",13
"(33.734, -84.432)",17
"(33.734, -84.433)",8
"(33.734, -84.434)",15
"(33.734, -84.435)",5
"(33.734, -84.436)",18
"(33.734, -84.437)",80
"(33.734, -84.438)",68
"(33.734, -84.439)",14
"(33.734, -84.44)",20
"(33.734, -84.441)",7
"(33.734, -84.442)",10
"(33.734, -84.443)",2
"(33.734, -84.444)",11
"(33.734, -84.445)",18
"(33.734, -84.446)",20
"(33.734, -84.447)",7
"(33.734, -84.448)",24
"(33.734, -84.449)",18
"(33.734, -84.45)",9
"(33.734, -84.451)",5
"(33.734, -84.452)",3
"(33.734, -84.453)",10
"(33.734, -84.454)",9
"(33.734, -84.455)",10
"(33.734, -84.456)",4
"(33.734, -84.457)",6
"(33.734, -84.458)",5
"(33.734, -84.459)",6
"(33.734, -84.46)",6
"(33.734, -84.461)",12
"(33.734, -84.462)",9
"(33.734, -84.468)",2
"(33.734, -84.469)",3
"(33.734, -84.47)",4
"(33.734, -84.471)",3
"(33.734, -84.472)",1
"(33.734, -84.476)",4
"(33.734, -84.478)",1
"(33.734, -84.479)",1
"(33.734, -84.481)",1
"(33.734, -84.487)",4
"(33.734, -84.488)",4
"(33.734, -84.489)",11
"(33.734, -84.49)",2
"(33.734, -84.491)",3
"(33.734, -84.492)",7
"(33.734, -84.494)",2
"(33.734, -84.495)",2
"(33.734, -84.496)",2
"(33.734, -84.497)",1
"(33.734, -84.498)",1
"(33.734, -84.499)",1
"(33.734, -84.5)",2
"(33.734, -84.501)",3
"(33.734, -84.504)",160
"(33.734, -84.51)",1
"(33.734, -84.512)",4
"(33.734, -84.513)",14
"(33.734, -84.514)",1
"(33.734, -84.532)",1
"(33.734, -84.533)",1
"(33.734, -84.534)",2
"(33.734, -84.536)",2
"(33.734, -84.537)",1
"(33.734, -84.538)",2
"(33.735, -84.327)",1
"(33.735, -84.33)",12
"(33.735, -84.331)",8
"(33.735, -84.332)",5
"(33.735, -84.333)",7
"(33.735, -84.334)",5
"(33.735, -84.335)",8
"(33.735, -84.336)",6
"(33.735, -84.337)",17
"(33.735, -84.338)",11
"(33.735, -84.339)",3
"(33.735, -84.34)",5
"(33.735, -84.341)",4
"(33.735, -84.342)",1
"(33.735, -84.343)",1
"(33.735, -84.344)",2
"(33.735, -84.345)",10
"(33.735, -84.346)",11
"(33.735, -84.348)",8
"(33.735, -84.349)",20
"(33.735, -84.35)",11
"(33.735, -84.351)",7
"(33.735, -84.352)",2
"(33.735, -84.353)",1
"(33.735, -84.357)",6
"(33.735, -84.358)",16
"(33.735, -84.359)",2
"(33.735, -84.36)",2
"(33.735, -84.361)",17
"(33.735, -84.362)",46
"(33.735, -84.363)",14
"(33.735, -84.365)",11
"(33.735, -84.366)",13
"(33.735, -84.367)",3
"(33.735, -84.368)",4
"(33.735, -84.374)",13
"(33.735, -84.375)",17
"(33.735, -84.376)",4
"(33.735, -84.377)",3
"(33.735, -84.378)",8
"(33.735, -84.379)",13
"(33.735, -84.38)",22
"(33.735, -84.381)",18
"(33.735, -84.382)",2
"(33.735, -84.384)",18
"(33.735, -84.385)",28
"(33.735, -84.386)",9
"(33.735, -84.387)",3
"(33.735, -84.388)",3
"(33.735, -84.391)",11
"(33.735, -84.393)",3
"(33.735, -84.394)",21
"(33.735, -84.395)",11
"(33.735, -84.396)",31
"(33.735, -84.397)",29
"(33.735, -84.398)",21
"(33.735, -84.399)",86
"(33.735, -84.4)",26
"(33.735, -84.401)",8
"(33.735, -84.402)",1
"(33.735, -84.403)",1
"(33.735, -84.404)",3
"(33.735, -84.405)",7
"(33.735, -84.408)",1
"(33.735, -84.409)",33
"(33.735, -84.412)",2
"(33.735, -84.413)",1
"(33.735, -84.414)",159
"(33.735, -84.415)",3
"(33.735, -84.416)",30
"(33.735, -84.417)",19
"(33.735, -84.418)",19
"(33.735, -84.419)",6
"(33.735, -84.42)",13
"(33.735, -84.421)",13
"(33.735, -84.422)",4
"(33.735, -84.423)",2
"(33.735, -84.424)",14
"(33.735, -84.425)",15
"(33.735, -84.426)",7
"(33.735, -84.428)",3
"(33.735, -84.429)",6
"(33.735, -84.43)",77
"(33.735, -84.431)",16
"(33.735, -84.432)",5
"(33.735, -84.433)",21
"(33.735, -84.434)",18
"(33.735, -84.435)",25
"(33.735, -84.436)",20
"(33.735, -84.437)",28
"(33.735, -84.438)",12
"(33.735, -84.439)",13
"(33.735, -84.44)",13
"(33.735, -84.441)",17
"(33.735, -84.442)",19
"(33.735, -84.443)",11
"(33.735, -84.444)",8
"(33.735, -84.446)",4
"(33.735, -84.447)",9
"(33.735, -84.448)",5
"(33.735, -84.449)",11
"(33.735, -84.45)",5
"(33.735, -84.451)",10
"(33.735, -84.453)",9
"(33.735, -84.454)",2
"(33.735, -84.459)",5
"(33.735, -84.46)",4
"(33.735, -84.461)",1
"(33.735, -84.462)",1
"(33.735, -84.463)",8
"(33.735, -84.469)",2
"(33.735, -84.47)",1
"(33.735, -84.471)",3
"(33.735, -84.472)",1
"(33.735, -84.477)",1
"(33.735, -84.479)",3
"(33.735, -84.48)",2
"(33.735, -84.481)",1
"(33.735, -84.482)",1
"(33.735, -84.484)",1
"(33.735, -84.486)",1
"(33.735, -84.487)",1
"(33.735, -84.488)",1
"(33.735, -84.489)",1
"(33.735, -84.491)",1
"(33.735, -84.493)",2
"(33.735, -84.494)",4
"(33.735, -84.495)",3
"(33.735, -84.497)",2
"(33.735, -84.498)",4
"(33.735, -84.499)",5
"(33.735, -84.5)",2
"(33.735, -84.501)",2
"(33.735, -84.511)",269
"(33.735, -84.513)",6
"(33.736, -84.33)",11
"(33.736, -84.331)",8
"(33.736, -84.332)",1
"(33.736, -84.333)",3
"(33.736, -84.334)",11
"(33.736, -84.335)",4
"(33.736, -84.336)",8
"(33.736, -84.337)",2
"(33.736, -84.338)",4
"(33.736, -84.339)",1
"(33.736, -84.34)",3
"(33.736, -84.341)",2
"(33.736, -84.342)",2
"(33.736, -84.343)",5
"(33.736, -84.344)",1
"(33.736, -84.345)",5
"(33.736, -84.346)",8
"(33.736, -84.348)",16
"(33.736, -84.349)",8
"(33.736, -84.35)",12
"(33.736, -84.351)",8
"(33.736, -84.352)",8
"(33.736, -84.353)",6
"(33.736, -84.354)",2
"(33.736, -84.355)",7
"(33.736, -84.356)",3
"(33.736, -84.357)",4
"(33.736, -84.358)",7
"(33.736, -84.359)",11
"(33.736, -84.36)",17
"(33.736, -84.361)",11
"(33.736, -84.362)",7
"(33.736, -84.363)",11
"(33.736, -84.364)",14
"(33.736, -84.365)",12
"(33.736, -84.366)",8
"(33.736, -84.367)",7
"(33.736, -84.368)",15
"(33.736, -84.371)",27
"(33.736, -84.374)",12
"(33.736, -84.375)",8
"(33.736, -84.376)",13
"(33.736, -84.377)",10
"(33.736, -84.378)",8
"(33.736, -84.379)",11
"(33.736, -84.38)",13
"(33.736, -84.381)",8
"(33.736, -84.382)",6
"(33.736, -84.383)",10
"(33.736, -84.384)",7
"(33.736, -84.385)",20
"(33.736, -84.386)",13
"(33.736, -84.388)",2
"(33.736, -84.389)",258
"(33.736, -84.393)",1
"(33.736, -84.394)",20
"(33.736, -84.395)",43
"(33.736, -84.396)",17
"(33.736, -84.397)",43
"(33.736, -84.398)",8
"(33.736, -84.399)",91
"(33.736, -84.4)",46
"(33.736, -84.401)",55
"(33.736, -84.402)",45
"(33.736, -84.405)",4
"(33.736, -84.406)",9
"(33.736, -84.408)",12
"(33.736, -84.412)",1
"(33.736, -84.414)",34
"(33.736, -84.415)",11
"(33.736, -84.416)",167
"(33.736, -84.417)",17
"(33.736, -84.418)",127
"(33.736, -84.419)",20
"(33.736, -84.42)",37
"(33.736, -84.421)",18
"(33.736, -84.422)",45
"(33.736, -84.423)",19
"(33.736, -84.424)",26
"(33.736, -84.425)",16
"(33.736, -84.426)",22
"(33.736, -84.427)",6
"(33.736, -84.428)",11
"(33.736, -84.43)",4
"(33.736, -84.431)",46
"(33.736, -84.432)",43
"(33.736, -84.433)",27
"(33.736, -84.434)",25
"(33.736, -84.435)",17
"(33.736, -84.436)",11
"(33.736, -84.437)",38
"(33.736, -84.438)",4
"(33.736, -84.439)",25
"(33.736, -84.44)",28
"(33.736, -84.441)",23
"(33.736, -84.442)",17
"(33.736, -84.443)",16
"(33.736, -84.444)",9
"(33.736, -84.445)",22
"(33.736, -84.446)",18
"(33.736, -84.447)",24
"(33.736, -84.449)",14
"(33.736, -84.45)",3
"(33.736, -84.451)",6
"(33.736, -84.452)",5
"(33.736, -84.453)",6
"(33.736, -84.454)",7
"(33.736, -84.455)",6
"(33.736, -84.458)",1
"(33.736, -84.459)",1
"(33.736, -84.46)",6
"(33.736, -84.461)",3
"(33.736, -84.462)",5
"(33.736, -84.463)",12
"(33.736, -84.47)",4
"(33.736, -84.471)",3
"(33.736, -84.472)",1
"(33.736, -84.477)",2
"(33.736, -84.478)",3
"(33.736, -84.479)",1
"(33.736, -84.48)",4
"(33.736, -84.481)",3
"(33.736, -84.482)",1
"(33.736, -84.484)",2
"(33.736, -84.486)",2
"(33.736, -84.487)",3
"(33.736, -84.488)",2
"(33.736, -84.489)",1
"(33.736, -84.49)",6
"(33.736, -84.492)",17
"(33.736, -84.493)",2
"(33.736, -84.494)",4
"(33.736, -84.495)",5
"(33.736, -84.496)",10
"(33.736, -84.497)",3
"(33.736, -84.498)",4
"(33.736, -84.499)",1
"(33.736, -84.5)",4
"(33.736, -84.51)",17
"(33.737, -84.33)",22
"(33.737, -84.331)",6
"(33.737, -84.332)",13
"(33.737, -84.333)",8
"(33.737, -84.335)",7
"(33.737, -84.336)",3
"(33.737, -84.337)",7
"(33.737, -84.338)",11
"(33.737, -84.339)",7
"(33.737, -84.34)",12
"(33.737, -84.341)",4
"(33.737, -84.342)",8
"(33.737, -84.343)",2
"(33.737, -84.344)",10
"(33.737, -84.345)",11
"(33.737, -84.346)",13
"(33.737, -84.348)",9
"(33.737, -84.349)",4
"(33.737, -84.35)",19
"(33.737, -84.351)",9
"(33.737, -84.352)",5
"(33.737, -84.353)",1
"(33.737, -84.354)",6
"(33.737, -84.355)",5
"(33.737, -84.356)",5
"(33.737, -84.357)",3
"(33.737, -84.358)",8
"(33.737, -84.361)",21
"(33.737, -84.362)",8
"(33.737, -84.363)",4
"(33.737, -84.364)",6
"(33.737, -84.365)",13
"(33.737, -84.366)",14
"(33.737, -84.367)",6
"(33.737, -84.368)",7
"(33.737, -84.369)",5
"(33.737, -84.37)",15
"(33.737, -84.374)",14
"(33.737, -84.375)",3
"(33.737, -84.376)",13
"(33.737, -84.377)",6
